t, tm
5.700036, 0.026849
5.710036, 0.026752
5.720036, 0.026654
5.730036, 0.026555
5.740036, 0.026454
5.750037, 0.026351
5.760037, 0.026247
5.770037, 0.026141
5.780037, 0.026034
5.790038, 0.025925
5.800038, 0.025815
5.810038, 0.025703
5.820038, 0.025590
5.830039, 0.025475
5.840039, 0.025358
5.850039, 0.025240
5.860039, 0.025120
5.870039, 0.024999
5.880040, 0.024876
5.890040, 0.024752
5.900040, 0.024626
5.910040, 0.024498
5.920041, 0.024369
5.930041, 0.024238
5.940041, 0.024106
5.950041, 0.023972
5.960042, 0.023837
5.970042, 0.023700
5.980042, 0.023561
5.990042, 0.023421
6.000042, 0.023280
6.010043, 0.023137
6.020043, 0.022992
6.030043, 0.022846
6.040043, 0.022698
6.050044, 0.022549
6.060044, 0.022398
6.070044, 0.022245
6.080044, 0.022091
6.090044, 0.021936
6.100045, 0.021779
6.110045, 0.021620
6.120045, 0.021460
6.130045, 0.021298
6.140046, 0.021135
6.150046, 0.020971
6.160046, 0.020804
6.170046, 0.020637
6.180047, 0.020467
6.190047, 0.020297
6.200047, 0.020124
6.210047, 0.019951
6.220047, 0.019775
6.230048, 0.019599
6.240048, 0.019421
6.250048, 0.019241
6.260048, 0.019060
6.270049, 0.018877
6.280049, 0.018693
6.290049, 0.018508
6.300049, 0.018321
6.310050, 0.018132
6.320050, 0.017942
6.330050, 0.017751
6.340050, 0.017558
6.350050, 0.017364
6.360051, 0.017169
6.370051, 0.016972
6.380051, 0.016774
6.390051, 0.016574
6.400052, 0.016373
6.410052, 0.016170
6.420052, 0.015967
6.430052, 0.015761
6.440053, 0.015555
6.450053, 0.015347
6.460053, 0.015138
6.470053, 0.014927
6.480053, 0.014716
6.490054, 0.014502
6.500054, 0.014288
6.510054, 0.014072
6.520054, 0.013855
6.530055, 0.013637
6.540055, 0.013418
6.550055, 0.013197
6.560055, 0.012975
6.570055, 0.012752
6.580056, 0.012528
6.590056, 0.012302
6.600056, 0.012075
6.610056, 0.011848
6.620057, 0.011618
6.630057, 0.011388
6.640057, 0.011157
6.650057, 0.010924
6.660058, 0.010691
6.670058, 0.010456
6.680058, 0.010220
6.690058, 0.009984
6.700058, 0.009746
6.710059, 0.009507
6.720059, 0.009267
6.730059, 0.009026
6.740059, 0.008784
6.750060, 0.008541
6.760060, 0.008297
