t, phi
4.270003, 2.359863
4.280003, 2.359895
4.290003, 2.359860
4.300004, 2.359852
4.310004, 2.359811
4.320004, 2.359748
4.330004, 2.359766
4.340004, 2.359786
4.350005, 2.359775
4.360005, 2.359787
4.370005, 2.359789
4.380005, 2.359810
4.390006, 2.359793
4.400006, 2.359699
4.410006, 2.359756
4.420006, 2.359797
4.430007, 2.359855
4.440007, 2.359896
4.450007, 2.359827
4.460007, 2.359856
4.470007, 2.359825
4.480008, 2.359764
4.490008, 2.359775
4.500008, 2.359735
4.510008, 2.359786
4.520009, 2.359800
4.530009, 2.359800
4.540009, 2.359837
4.550009, 2.359838
4.560009, 2.359833
4.570010, 2.359756
4.580010, 2.359733
4.590010, 2.359727
4.600010, 2.359653
4.610011, 2.359717
4.620011, 2.359715
4.630011, 2.359757
4.640011, 2.359776
4.650012, 2.359802
4.660012, 2.359867
4.670012, 2.359878
4.680012, 2.359876
4.690012, 2.359838
4.700013, 2.359821
4.710013, 2.359844
4.720013, 2.359802
4.730013, 2.359841
4.740014, 2.359843
4.750014, 2.359877
4.760014, 2.359878
4.770014, 2.359851
4.780015, 2.359879
4.790015, 2.359793
4.800015, 2.359841
4.810015, 2.359771
4.820015, 2.359776
4.830016, 2.359751
4.840016, 2.359756
4.850016, 2.359757
4.860016, 2.359697
4.870017, 2.359731
4.880017, 2.359703
4.890017, 2.359738
4.900017, 2.359711
4.910017, 2.359755
4.920018, 2.359800
4.930018, 2.359834
4.940018, 2.359924
4.950018, 2.359856
4.960019, 2.359859
4.970019, 2.359829
4.980019, 2.359853
4.990019, 2.359835
5.000020, 2.359888
5.010020, 2.359790
5.020020, 2.359737
5.030020, 2.359722
5.040020, 2.359683
5.050021, 2.359653
5.060021, 2.359586
5.070021, 2.359582
5.080021, 2.359519
5.090022, 2.359562
5.100022, 2.359516
5.110022, 2.359638
5.120022, 2.359698
5.130023, 2.359712
5.140023, 2.359720
5.150023, 2.359748
5.160023, 2.359796
5.170023, 2.359799
5.180024, 2.359840
5.190024, 2.359910
5.200024, 2.360014
5.210024, 2.359905
5.220025, 2.359817
5.230025, 2.359836
5.240025, 2.359946
5.250025, 2.359869
5.260026, 2.359818
5.270026, 2.359765
5.280026, 2.359786
5.290026, 2.359713
5.300026, 2.359673
5.310027, 2.359704
5.320027, 2.359657
5.330027, 2.359555
5.340027, 2.359529
5.350028, 2.359553
5.360028, 2.359486
5.370028, 2.359394
5.380028, 2.359324
5.390028, 2.359322
5.400029, 2.359300
5.410029, 2.359256
5.420029, 2.359203
5.430029, 2.359158
5.440030, 2.359069
5.450030, 2.359028
5.460030, 2.359015
5.470030, 2.358935
5.480031, 2.358857
5.490031, 2.358794
5.500031, 2.358758
5.510031, 2.358741
5.520031, 2.358705
5.530032, 2.358625
5.540032, 2.358589
5.550032, 2.358583
5.560032, 2.358543
5.570033, 2.358479
5.580033, 2.358464
5.590033, 2.358365
5.600033, 2.358353
5.610034, 2.358290
5.620034, 2.358301
5.630034, 2.358231
5.640034, 2.358236
5.650034, 2.358164
5.660035, 2.358176
5.670035, 2.358191
5.680035, 2.358258
5.690035, 2.358289
5.700036, 2.358422
5.710036, 2.358445
5.720036, 2.358487
5.730036, 2.358487
5.740036, 2.358503
5.750037, 2.358492
5.760037, 2.358540
5.770037, 2.358568
5.780037, 2.358567
5.790038, 2.358603
5.800038, 2.358587
5.810038, 2.358633
5.820038, 2.358600
5.830039, 2.358646
5.840039, 2.358601
5.850039, 2.358553
5.860039, 2.358516
5.870039, 2.358497
5.880040, 2.358463
5.890040, 2.358428
5.900040, 2.358431
5.910040, 2.358353
5.920041, 2.358387
5.930041, 2.358378
5.940041, 2.358450
5.950041, 2.358487
5.960042, 2.358514
5.970042, 2.358549
5.980042, 2.358605
5.990042, 2.358622
6.000042, 2.358581
6.010043, 2.358577
6.020043, 2.358525
6.030043, 2.358543
6.040043, 2.358525
6.050044, 2.358546
6.060044, 2.358488
6.070044, 2.358446
6.080044, 2.358391
6.090044, 2.358359
6.100045, 2.358399
6.110045, 2.358464
6.120045, 2.358474
6.130045, 2.358465
6.140046, 2.358462
6.150046, 2.358524
6.160046, 2.358538
6.170046, 2.358577
6.180047, 2.358557
6.190047, 2.358564
6.200047, 2.358603
6.210047, 2.358620
6.220047, 2.358680
6.230048, 2.358715
6.240048, 2.358739
6.250048, 2.358705
6.260048, 2.358698
6.270049, 2.358641
6.280049, 2.358651
6.290049, 2.358611
6.300049, 2.358597
6.310050, 2.358602
6.320050, 2.358624
6.330050, 2.358632
6.340050, 2.358672
6.350050, 2.358715
6.360051, 2.358739
6.370051, 2.358709
6.380051, 2.358684
6.390051, 2.358652
6.400052, 2.358661
6.410052, 2.358615
6.420052, 2.358589
6.430052, 2.358604
6.440053, 2.358616
6.450053, 2.358656
6.460053, 2.358661
6.470053, 2.358656
6.480053, 2.358642
6.490054, 2.358606
6.500054, 2.358547
6.510054, 2.358526
6.520054, 2.358589
6.530055, 2.358580
6.540055, 2.358588
6.550055, 2.358598
6.560055, 2.358593
6.570055, 2.358593
6.580056, 2.358555
6.590056, 2.358510
6.600056, 2.358443
6.610056, 2.358458
6.620057, 2.358463
6.630057, 2.358468
6.640057, 2.358449
6.650057, 2.358450
6.660058, 2.358475
6.670058, 2.358449
6.680058, 2.358446
6.690058, 2.358456
6.700058, 2.358474
6.710059, 2.358469
6.720059, 2.358431
6.730059, 2.358397
6.740059, 2.358427
6.750060, 2.358412
6.760060, 2.358433
6.770060, 2.358440
6.780060, 2.358414
6.790061, 2.358433
6.800061, 2.358450
6.810061, 2.358393
6.820061, 2.358346
6.830061, 2.358359
6.840062, 2.358333
6.850062, 2.358378
6.860062, 2.358317
6.870062, 2.358367
6.880063, 2.358366
6.890063, 2.358373
6.900063, 2.358414
6.910063, 2.358454
6.920063, 2.358467
6.930064, 2.358461
6.940064, 2.358423
6.950064, 2.358416
6.960064, 2.358372
6.970065, 2.358355
6.980065, 2.358370
6.990065, 2.358354
7.000065, 2.358354
7.010066, 2.358307
7.020066, 2.358344
7.030066, 2.358409
7.040066, 2.358364
7.050066, 2.358342
7.060067, 2.358374
7.070067, 2.358336
7.080067, 2.358400
7.090067, 2.358439
7.100068, 2.358402
7.110068, 2.358402
7.120068, 2.358412
7.130068, 2.358392
7.140069, 2.358383
7.150069, 2.358459
7.160069, 2.358452
7.170069, 2.358378
7.180069, 2.358362
7.190070, 2.358344
7.200070, 2.358284
7.210070, 2.358297
7.220070, 2.358342
7.230071, 2.358342
7.240071, 2.358277
7.250071, 2.358271
7.260071, 2.358334
7.270072, 2.358331
7.280072, 2.358292
7.290072, 2.358317
7.300072, 2.358399
7.310072, 2.358424
7.320073, 2.358408
7.330073, 2.358355
7.340073, 2.358362
7.350073, 2.358424
7.360074, 2.358462
7.370074, 2.358453
7.380074, 2.358483
7.390074, 2.358434
7.400074, 2.358401
7.410075, 2.358416
7.420075, 2.358437
7.430075, 2.358407
7.440075, 2.358356
7.450076, 2.358434
7.460076, 2.358417
7.470076, 2.358364
7.480076, 2.358348
7.490077, 2.358373
7.500077, 2.358407
7.510077, 2.358412
7.520077, 2.358444
7.530077, 2.358432
7.540078, 2.358465
7.550078, 2.358535
7.560078, 2.358510
7.570078, 2.358490
7.580079, 2.358488
7.590079, 2.358480
7.600079, 2.358500
7.610079, 2.358474
7.620080, 2.358526
7.630080, 2.358564
7.640080, 2.358510
7.650080, 2.358549
7.660080, 2.358584
7.670081, 2.358566
7.680081, 2.358618
7.690081, 2.358630
7.700081, 2.358624
7.710082, 2.358644
7.720082, 2.358646
7.730082, 2.358648
7.740082, 2.358647
7.750082, 2.358647
7.760083, 2.358645
7.770083, 2.358661
7.780083, 2.358675
7.790083, 2.358662
7.800084, 2.358671
7.810084, 2.358673
7.820084, 2.358684
7.830084, 2.358706
7.840085, 2.358669
7.850085, 2.358701
7.860085, 2.358743
7.870085, 2.358768
7.880085, 2.358794
7.890086, 2.358757
7.900086, 2.358786
7.910086, 2.358759
7.920086, 2.358685
7.930087, 2.358692
7.940087, 2.358671
7.950087, 2.358711
7.960087, 2.358668
7.970088, 2.358648
7.980088, 2.358685
7.990088, 2.358639
8.000088, 2.358646
